action,deadline,light,next_waypoint,reward,traffic_left,traffic_oncoming,traffic_right,trial_num
None,41,red,forward,0.0,None,None,None,30
None,40,red,forward,0.0,None,None,None,30
None,39,red,forward,0.0,None,None,None,30
forward,38,green,forward,2.0,None,None,None,30
None,37,red,forward,0.0,None,None,None,30
None,36,red,forward,0.0,None,None,None,30
forward,35,green,forward,2.0,None,None,None,30
forward,34,green,forward,2.0,None,None,None,30
None,33,red,left,0.0,None,None,None,30
None,32,red,left,0.0,None,None,None,30
None,31,red,left,0.0,None,None,None,30
left,30,green,left,2.0,None,None,None,30
None,29,red,forward,0.0,None,None,None,30
None,28,red,forward,0.0,None,None,None,30
None,27,red,forward,0.0,None,None,None,30
forward,26,green,forward,2.0,None,None,None,30
None,25,red,forward,0.0,None,None,None,30
None,24,red,forward,0.0,None,None,None,30
None,23,red,forward,0.0,None,None,None,30
forward,22,green,forward,2.0,None,None,None,30
None,21,red,forward,0.0,None,None,None,30
None,20,red,forward,0.0,None,None,None,30
None,19,red,forward,0.0,None,None,None,30
forward,18,green,forward,12.0,None,None,None,30
right,20,green,right,2.0,None,None,None,31
None,19,red,left,0.0,None,None,None,31
None,18,red,left,0.0,None,None,None,31
None,17,red,left,0.0,None,None,None,31
left,16,green,left,2.0,None,None,None,31
None,15,red,forward,0.0,None,None,None,31
forward,14,green,forward,2.0,None,None,None,31
forward,13,green,forward,12.0,None,None,None,31
right,25,red,right,2.0,None,None,None,32
right,24,red,right,2.0,None,None,None,32
right,23,red,right,2.0,None,None,None,32
forward,22,green,forward,2.0,None,None,None,32
None,21,red,forward,0.0,None,None,None,32
None,20,red,forward,0.0,None,None,None,32
forward,19,green,forward,2.0,None,None,None,32
forward,18,green,forward,2.0,None,None,None,32
forward,17,green,forward,12.0,None,None,None,32
right,25,red,right,2.0,None,None,None,33
right,24,green,right,2.0,None,None,None,33
None,23,red,left,0.0,None,None,None,33
None,22,red,left,0.0,None,None,None,33
None,21,red,left,0.0,None,None,None,33
left,20,green,left,12.0,None,None,None,33
right,20,red,right,2.0,None,None,None,34
right,19,red,right,2.0,None,None,None,34
None,18,red,forward,0.0,None,None,None,34
forward,17,green,forward,2.0,None,None,None,34
None,16,red,forward,0.0,None,None,None,34
None,15,red,forward,0.0,None,None,None,34
None,14,red,forward,0.0,None,None,None,34
None,13,red,forward,0.0,None,None,None,34
forward,12,green,forward,12.0,None,None,None,34
right,20,green,right,2.0,None,None,None,35
None,19,red,forward,0.0,None,None,None,35
None,18,red,forward,0.0,None,None,None,35
None,17,red,forward,0.0,None,None,None,35
forward,16,green,forward,2.0,None,None,None,35
forward,15,green,forward,2.0,None,None,None,35
forward,14,green,forward,12.0,None,None,None,35
right,30,red,right,2.0,None,None,None,36
right,29,red,right,2.0,None,None,None,36
None,28,red,forward,0.0,None,None,None,36
None,27,red,forward,0.0,None,None,None,36
forward,26,green,forward,2.0,None,None,right,36
None,25,red,forward,0.0,None,None,None,36
forward,24,green,forward,2.0,None,None,None,36
forward,23,green,forward,2.0,None,None,None,36
forward,22,green,forward,2.0,None,None,None,36
None,21,red,forward,0.0,None,None,None,36
None,20,red,forward,0.0,None,None,None,36
None,19,red,forward,0.0,None,None,None,36
forward,18,green,forward,2.0,None,None,None,36
right,17,red,right,12.0,None,None,None,36
left,50,green,left,2.0,None,None,None,37
None,49,red,forward,0.0,None,None,None,37
None,48,red,forward,0.0,None,None,None,37
None,47,red,forward,0.0,None,None,None,37
None,46,red,forward,0.0,None,None,None,37
