action,deadline,light,next_waypoint,reward,step_num,traffic_left,traffic_oncoming,traffic_right,trial_num
forward,12,red,right,-1.0,18,None,None,None,3
forward,11,red,right,-1.0,19,None,None,None,3
forward,10,red,right,-1.0,20,None,None,None,3
left,9,green,right,-0.5,21,None,None,None,3
forward,8,red,left,-1.0,22,None,left,None,3
None,7,red,left,0.0,23,None,left,None,3
right,6,green,left,-0.5,24,None,None,None,3
None,5,green,right,0.0,25,None,None,None,3
None,4,green,right,0.0,26,None,None,None,3
None,3,green,right,0.0,27,None,None,None,3
None,2,green,right,0.0,28,None,None,None,3
None,1,green,right,0.0,29,None,None,None,3
forward,0,red,right,-1.0,30,None,None,None,3
forward,25,red,right,-1.0,0,None,None,None,4
right,24,red,right,2.0,1,None,None,None,4
forward,23,red,right,-1.0,2,None,None,None,4
forward,22,red,right,-1.0,3,None,None,None,4
right,21,green,right,2.0,4,None,None,None,4
None,20,red,forward,0.0,5,None,None,None,4
forward,19,green,forward,2.0,6,None,None,None,4
forward,18,green,forward,2.0,7,None,None,None,4
left,17,green,forward,-0.5,8,None,None,None,4
right,16,green,right,2.0,9,None,None,None,4
forward,15,green,right,-0.5,10,right,None,None,4
right,14,green,right,2.0,11,None,None,None,4
right,13,green,right,2.0,12,None,None,None,4
None,12,red,left,0.0,13,None,None,None,4
None,11,red,left,0.0,14,None,None,None,4
right,10,green,left,-0.5,15,None,None,None,4
right,9,green,right,2.0,16,None,None,None,4
forward,8,red,right,-1.0,17,None,None,None,4
forward,7,red,right,-1.0,18,None,None,None,4
forward,6,red,right,-1.0,19,None,None,None,4
right,5,green,right,2.0,20,None,None,None,4
right,4,green,right,2.0,21,None,None,None,4
right,3,green,left,-0.5,22,None,None,None,4
forward,2,red,right,-1.0,23,None,None,None,4
forward,1,red,right,-1.0,24,None,None,None,4
right,0,green,right,2.0,25,None,None,None,4
right,25,green,right,2.0,0,None,None,None,5
right,24,green,right,2.0,1,None,None,None,5
right,23,green,right,2.0,2,None,None,None,5
None,22,red,forward,0.0,3,None,None,None,5
None,21,red,forward,0.0,4,None,None,None,5
None,20,red,forward,0.0,5,None,None,None,5
left,19,green,forward,-0.5,6,None,None,None,5
forward,18,red,right,-1.0,7,None,None,None,5
left,17,red,right,-1.0,8,right,None,None,5
forward,16,red,right,-1.0,9,None,None,None,5
right,15,green,right,2.0,10,None,None,None,5
forward,14,red,right,-1.0,11,None,None,None,5
right,13,green,right,2.0,12,None,None,None,5
right,12,green,left,-0.5,13,None,None,None,5
right,11,green,right,2.0,14,None,None,None,5
forward,10,red,right,-1.0,15,None,None,None,5
forward,9,red,right,-1.0,16,None,None,None,5
forward,8,red,right,-1.0,17,None,None,None,5
right,7,red,right,2.0,18,None,None,None,5
right,6,green,right,2.0,19,None,None,None,5
right,5,green,left,-0.5,20,None,None,None,5
right,4,red,right,2.0,21,None,None,None,5
right,3,green,right,2.0,22,None,None,None,5
right,2,red,right,2.0,23,None,None,None,5
None,1,red,left,0.0,24,None,None,None,5
None,0,red,left,0.0,25,None,None,None,5
left,35,red,right,-1.0,0,None,None,None,6
forward,34,red,right,-1.0,1,None,None,None,6
forward,33,red,right,-1.0,2,None,None,None,6
right,32,green,right,2.0,3,None,None,None,6
None,31,green,forward,0.0,4,None,None,None,6
None,30,green,forward,0.0,5,None,None,None,6
